СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1288,Ново Село (Церово) - Бунец,5444,203 - Ново Село (Церово),343 - Бунец
1289,Бунец - Маврови Анови,6534,343 - Бунец,21 - Маврови Анови
1290,Маврови Анови - Бигорски манастир 1,23532,21 - Маврови Анови,345 - Бигорски манастир
1291,Бигорски манастир 1 - Ростуше 1 (Аџиевци),1844,345 - Бигорски манастир,346 - Ростуше 1 (Аџиевци)
1292,Ростуше 1 (Аџиевци) - Бошков мост,8050,346 - Ростуше 1 (Аџиевци),41 - Бошков мост
1293,Бошков мост - Мелнички мост,5023,41 - Бошков мост,49 - Мелнички мост
1294,Мелнички мост - Debar,4358,49 - Мелнички мост,481 - Дебар исток
1295,Debar - Кривци,3881,481 - Дебар исток,349 - Кривци
1296,Кривци - Државна граница МК/АЛ (Блато),2287,349 - Кривци,482 - Државна граница МК/АЛ (Блато)
1297,Бигорски манастир - Св. Јован Крстител (Бигорски),802,345 - Бигорски манастир,483 - Св. Јован Крстител (Бигорски)
