СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1243,Ченто 2 (автопат) - Никуштак,11250,304 - Ченто 2 (автопат),305 - Никуштак
1244,Никуштак - Куманово 1 (автопат),10957,305 - Никуштак,306 - Куманово 1 (автопат)
1245,Куманово 1 (автопат) - Куманово 2 (Бединје),866,306 - Куманово 1 (автопат),307 - Куманово 2 (Бединје)
1246,Куманово 2 (Бединје) - Д. Конјаре 4 (Лојане),2583,307 - Куманово 2 (Бединје),308 - Д. Конјаре 4 (Лојане)
1247,Д. Конјаре 4 (Лојане) - Drzhavna граница RS/MK (Војиновик),10034,308 - Д. Конјаре 4 (Лојане),803 - Државна граница МК/РС (Војиновик)
