СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1236,Ново Село (шопур) - Лесковица,4361,230 - Ново Село (шопур),298 - Лесковица
1237,Лесковица - Неготино 2 (Ladilnik) Неготино 3 Неготино 3,24195,298 - Лесковица,288 - Неготино 2 (Ладник)
1238,Неготино 3 - Неготино 1 (автопат),148,299 - Неготино 3,300 - Неготино 1 (автопат)
1239,Неготино 1 (автопат) - Неготино 5 (Марена),668,300 - Неготино 1 (автопат),301 - Неготино 5 (Марена)
1240,Неготино 5 (Марена) - Кавадарци 1 (Рибарци),10900,301 - Неготино 5 (Марена),474 - Кавадарци 1 (Рибарци)
1241,Кавадарци 1 (Рибарци) - Кавадарци 2 (Ваташа),574,474 - Кавадарци 1 (Рибарци),302 - Кавадарци 1 (Рибарци)
1242,Кавадарци 2 (Ваташа) - Дреново (Возарци),11103,303 - Кавадарци 2 (Ваташа),237 - Дреново (Возарци)
