СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1281,Струга - Мороишки Мост,1480,335 - Струга,35 - Мороишки Мост
1282,Мороишки Мост - Добовјани 1 (Вевчани),7264,35 - Мороишки Мост,337 - Добовјани 1 (Вевчани)
1283,Добовјани 1 (Вевчани) - Добовјани 2 (Јабланица),260,337 - Добовјани 1 (Вевчани),31 - Добовјани 2 (Јабланица)
1284,Добовјани 2 (Јабланица) - Дренок,18035,31 - Добовјани 2 (Јабланица),339 - Дренок
1285,Дренок - Џепиште,11553,339 - Дренок,341 - Џепиште
1286,Џепиште - Debar,12563,341 - Џепиште,479 - Дебар запад
1287,Џепиште - Државна граница МК/АЛ (D├ä─ů├ä─żepishte),1274,341 - Џепиште,480 - Државна граница МК/АЛ (Џепиште)
