СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
157,Кадрифаково (Овче Поле) - Кадрифаково (автопат),589,220 - Кадрифаково (Овче Поле),835 - Кадрифаково (автопат)
158,Кадрифаково (автопат) - Штип (Три Чешми - автопат),8567,835 - Кадрифаково (автопат),837 - Штип (Три Чешми - автопат)
351,Подмолје - Охрид 1 (Св. Еразмо),5171,460 - Подмолје,461 - Охрид 1 (Св. Еразмо)
352,Охрид 1 (Св. Еразмо) - Косел,8488,461 - Охрид 1 (Св. Еразмо),240 - Косел
353,Макази 1 (Казхани) - Казхани,9946,212 - Макази 1 (Казхани),213 - Казхани
354,Казхани - Превалец 1 (Ротински),6365,213 - Казхани,214 - Превалец 1 (Ротински)
355,Превалец 1 (Ротински) - Снегово (Билбил камен),7090,214 - Превалец 1 (Ротински),215 - Снегово (Билбил камен)
356,Снегово (Билбил камен) - Крклино,7819,215 - Снегово (Билбил камен),216 - Крклино
357,Крклино - Црна Землја (Тополчани),18891,216 - Крклино,217 - Црна Землја (Тополчани)
358,Црна Землја (Тополчани) - Ново Лагово 2 (Прилеп),12255,217 - Црна Землја (Тополчани),554 - Ново Лагово 2 (Прилеп)
359,Каратманово - Овче Поле,14621,218 - Каратманово,219 - Овче Поле
360,Овче Поле - Кадрифаково 1 (Овче Поле),1992,219 - Овче Поле,220 - Кадрифаково (Овче Поле)
362,Штип (Три Чешми - автопат) - Штип 1,2423,837 - Штип (Три Чешми - автопат),222 - Штип 1 (Три фонтани)
362,Штип (Три Чешми - автопат) - Штип 1,2423,837 - Штип (Три Чешми - автопат),222 - Штип 1
363,Штип 1 - Штип 2 (клучка),819,222 - Штип 1 (Три фонтани),223 - Штип 2 (клучка)
363,Штип 1 - Штип 2 (клучка),819,222 - Штип 1,223 - Штип 2 (клучка)
364,Штип 2 (клучка) - Крупиште,11531,223 - Штип 2 (клучка),243 - Крупиште
365,"Делчево 1 (Драмче) - Делчево 2 (Голак, Габрово)",855,463 - Делчево 1 (Драмче),"80 - Делчево 2 (Голак, Габрово)"
366,"Делчево 2 (Голак, Габрово) - Делчево 3 (Тработивиште)",1034,"80 - Делчево 2 (Голак, Габрово)",226 - Делчево 3 (Тработивиште)
367,Делчево 3 (Тработивиште) - Делчево 4 (Џвегор),339,226 - Делчево 3 (Тработивиште),227 - Делчево 4 (Џвегор)
368,Делчево 4 (Џвегор) - Државна граница МК/БГ (Рамна Нива),9709,227 - Делчево 4 (Џвегор),464 - Државна граница МК/БГ (Рамна Нива)
701,Клучка Охрид-Св. Еразмо,858,610 - Клучка Охрид-Св. Еразмо,611 - Клучка Охрид-Св. Еразмо
703,Клучка Казхани,343,612 - Клучка Казхани,613 - Клучка Ротино
704,Клучка Ротино,649,613 - Клучка Ротино,614 - Клучка Ротино
705,Клучка Дихово,141,615 - Клучка Дихово,215 - Снегово (Билбил камен)
706,Крстосница Крклино,619,616 - Крстосница Крклино,616 - Крстосница Крклино
707,Клучка Тополчани,714,617 - Клучка Тополчани,618 - Клучка Тополчани
708,Клучка Ново Лагово A3,232,619 - Клучка Ново Лагово A3,620 - Клучка Ново Лагово A3
711,Крстосница Кадрифаково,1097,621 - Крстосница Кадрифаково,220 - Кадрифаково (Овче Поле)
711,Крстосница Кадрифаково,1097,621 - Крстосница Кадрифаково,220 - Кадрифаково (Овче Поле)
713,Крстосница Штип,1182,222 - Штип 1 (Три фонтани),222 - Штип 1 (Три фонтани)
713,Крстосница Штип,1182,222 - Штип 1 (Три фонтани),222 - Штип 1
713,Крстосница Штип,1182,222 - Штип 1,222 - Штип 1 (Три фонтани)
713,Крстосница Штип,1182,222 - Штип 1,222 - Штип 1
714,Клучка Штип север,225,622 - Клучка Штип север,623 - Клучка Штип север
715,Клучка Крупиште,141,624 - Клучка Крупиште,625 - Клучка Крупиште
716,Клучка Кочани запад,1226,626 - Клучка Кочани запад,627 - Клучка Кочани запад
717,Клучка Кочани центар,644,628 - Клучка Кочани центар,628 - Клучка Кочани центар
841,Почивалиште Крклино,368,703 - Почивалиште Крклино,704 - Почивалиште Крклино
842,Почивалиште Беровци,238,705 - Почивалиште Беровци,706 - Почивалиште Беровци
843,Почивалиште Крупиште,283,707 - Почивалиште Крупиште,708 - Почивалиште Крупиште
844,Почивалиште Трканје,211,709 - Почивалиште Трканје,710 - Почивалиште Трканје
845,Почивалиште Делчево-граница,149,711 - Почивалиште Делчево-граница,712 - Почивалиште Делчево-граница
846,Почивалиште Меџитлија,525,713 - Почивалиште Меџитлија,714 - Почивалиште Меџитлија
1021,Косел - Јанковец,26082,240 - Косел,241 - Кривени
1022,Јанковец - Ресен,2158,241 - Кривени,242 - Ресен
1023,Ресен - Макази 1 (Казхани),5825,242 - Ресен,212 - Макази 1 (Казхани)
1024,Крупиште - Чифлик,5478,243 - Крупиште,244 - Чифлик
1025,Чифлик - Трканје,6347,244 - Чифлик,81 - Трканје
1026,Трканје - Кочани 1 (Бели),2431,81 - Трканје,246 - Кочани 1 (Бели)
1027,Кочани 1 (Бели) - Кочани 2 (Грдовци),1782,246 - Кочани 1 (Бели),247 - Кочани 2 (Грдовци)
1028,Кочани 2 (Грдовци) - Кочани 3 (Гранит),3734,247 - Кочани 2 (Грдовци),248 - Кочани 3 (Гранит)
1029,Кочани 3 (Гранит) - Превалец 2 (Кочанско),1625,248 - Кочани 3 (Гранит),249 - Превалец 2 (Кочанско)
1030,Превалец 2 (Кочанско) - Истибанја,3265,249 - Превалец 2 (Кочанско),250 - Истибанја
1031,Истибанја - Македонска Каменица,17857,250 - Истибанја,251 - Македонска Каменица
1032,Македонска Каменица - Драмче,12200,251 - Македонска Каменица,84 - Драмче
