СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1263,Росоман - Кавадарци 1 (Рибарци),10726,236 - Росоман,474 - Кавадарци 1 (Рибарци)
1264,Кавадарци 2 (Ваташа) - Мушов гроб,31151,323 - Кавадарци 2 (Ваташа),324 - Мушов гроб
1265,Мушов гроб - Рожден,14214,324 - Мушов гроб,325 - Рожден
1266,Рожден - Мајдан,3844,325 - Рожден,326 - Мајдан
1267,Мајдан - Витолиште,21904,326 - Мајдан,327 - Витолиште
1268,Витолиште - Мелница,7722,327 - Витолиште,328 - Мелница
1269,Мелница - Расим Бегов мост,3305,328 - Мелница,329 - Расим Бегов мост
1270,Расим Бегов мост - Krushevica (врска со P29172),12314,329 - Расим Бегов мост,330 - Крушевица (врска со Р29172)
1271,Krushevica (врска со P29172) - Ново Лагово 1 (Старо Лагово),22024,330 - Крушевица (врска со Р29172),331 - Ново Лагово 1 (Старо Лагово)
1272,Ново Лагово 1 (Старо Лагово) - Ново Лагово 2 (Прилеп),414,331 - Ново Лагово 1 (Старо Лагово),264 - Ново Лагово 2 (Прилеп)
