СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1351,Прилеп 1 (автопат) - Прилеп 4 (Г. Конјари),1769,392 - Прилеп 1 (автопат),393 - Прилеп 4 (Г. Конјари)
1352,Прилеп 4 (Г. Конјари) - Прилеп 3 (Градска кафана),299,393 - Прилеп 4 (Г. Конјари),394 - Прилеп 3 (Градска кафана)
1353,Прилеп 3 (Градска кафана) - Варош,2470,394 - Прилеп 3 (Градска кафана),395 - Варош
1354,Варош - Долнени 1 (Новоселани),11285,395 - Варош,396 - Долнени 1 (Новоселани)
1355,Долнени 1 (Новоселани) - Ропотово,6250,396 - Долнени 1 (Новоселани),397 - Ропотово
1356,Ропотово - Суводол,14902,397 - Ропотово,398 - Суводол
1357,Суводол - Oreovec,12778,398 - Суводол,399 - Ореовец (Пласница)
1358,Oreovec - Вранештица 1 (челопеци),8960,399 - Ореовец (Пласница),400 - Вранештица 1 (челопеци)
1359,Вранештица 1 (челопеци) - Кичево 3 (Бигор Доленци),7276,400 - Вранештица 1 (челопеци),495 - Кичево 4
