СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
784,Клучка Смојмирово,130,796 - Клучка Смојмирово,797 - Клучка Смојмирово
1360,Превалец 2 (Кочанско) - Виница 1 (Градец),3843,249 - Превалец 2 (Кочанско),402 - Виница 1 (Градец)
1361,Виница 1 (Градец) - Виница 2 (Блатец),5723,402 - Виница 1 (Градец),403 - Виница 2 (Блатец)
1362,Виница 2 (Блатец) - Мост на река Пекљанска,2476,403 - Виница 2 (Блатец),404 - Мост на река Пекљанска
1363,Мост на река Пекљанска - Митрашинци,20180,404 - Мост на река Пекљанска,405 - Митрашинци
1364,Митрашинци - Смојмирово,11218,405 - Митрашинци,494 - Смојмирово
