СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1317,Сарај 2 (клучка челичен мост) - Д. Грчец (автопат),2534,18 - Сарај 2 (клучка челичен мост),369 - Д. Грчец (автопат)
1318,Д. Грчец (автопат) - Групчин (автопат),15485,369 - Д. Грчец (автопат),370 - Групчин (автопат)
1319,Групчин (автопат) - Желино 2 (Сирично),7529,370 - Групчин (автопат),33 - Желино 2 (Сирично)
1320,Желино 2 (Сирично) - Тетово 1 (автопат),7572,33 - Желино 2 (Сирично),804 - Тетово 1 (автопат)
1321,Тетово 1 (автопат) - Тетово 2 (Џепиште),1170,485 - Тетово 1 (автопат),805 - Тетово 2 (Џепиште)
1322,Тетово 2 (Цепчиште) - Тетово 3 (Брвеница),1562,486 - Тетово 2 (Џепиште),488 - Тетово 3 (Брвеница)
1323,Тетово 3 (Брвеница) - Тетово 4 (Голема Речица),459,372 - Тетово 3 (Брвеница),373 - Тетово 4 (Голема Речица)
1324,Тетово 4 (Голема Речица) - Каменјане,6962,373 - Тетово 4 (Голема Речица),374 - Каменјане
1325,Каменјане - Неготино Полошко,8888,374 - Каменјане,375 - Неготино Полошко
1326,Неготино Полошко - Врапчиште,5151,375 - Неготино Полошко,376 - Врапчиште
1327,Врапчиште - Гостивар 2 (Млака),4177,376 - Врапчиште,557 - Гостивар 2 (Млака)
