СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1232,Миравци 1 (Милетково) - Давидово,4358,309 - Давидово,309 - Давидово
1248,Давидово - Удово (автопат),1085,309 - Давидово,310 - Удово (автопат)
1249,Удово (автопат) - Валандово (Брајковци),9516,310 - Удово (автопат),311 - Валандово (Брајковци)
1250,Валандово (Брајковци) - Раброво,4396,311 - Валандово (Брајковци),312 - Раброво
1251,Раброво - Фурка,9111,312 - Раброво,313 - Фурка
1252,Фурка - N. Дојран (Ачикот),5627,313 - Фурка,475 - Дојран (Ачикот)
1253,N. Дојран (Ачикот) - Државна граница МК/ГР (Дојран),9287,475 - Дојран (Ачикот),314 - Државна граница МК/ГР (Дојран)
1254,N. Дојран (Ачикот) - Државна граница МК/ГР (Nikolik),5899,475 - Дојран (Ачикот),476 - Државна граница МК/ГР (Николич)
1421,Миравци 2 (врска A1) - Миравци 1 (Милетково),1479,812 - Почивалиште Миравтси,295 - Миравци 1 (Милетково)
