СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1,Државна граница РС/МК (Табановце) - Речица (автопат),5664,158 - Државна граница РС/МК (Табановце),547 - Речица
2,Речица (автопат) - Д. Конјаре 1 (автопат),3489,547 - Речица,160 - Д. Конјаре 1 (автопат)
3,Д. Конјаре 1 (автопат) - Куманово 1 (автопат),2775,160 - Д. Конјаре 1 (автопат),161 - Куманово 1 (автопат)
4,Куманово 1 (автопат) - Миладиновци 1 (автопат),17855,161 - Куманово 1 (автопат),162 - Миладиновци 1 (автопат)
5,Миладиновци 1 (автопат) - Петровец 1 (автопат),5827,162 - Миладиновци 1 (автопат),163 - Петровец 1 (автопат)
6,Петровец 1 (автопат) - Катланово 1 (автопат),7008,163 - Петровец 1 (автопат),164 - Катланово 1 (автопат)
7,Катланово 1 (автопат) - Башино село (автопат),23794,164 - Катланово 1 (автопат),165 - Башино село (автопат)
8,Башино село (автопат) - Велес 1 (автопат),3286,165 - Башино село (автопат),166 - Велес 1 (автопат)
9,Велес 1 (автопат) - Д. Каласлари(автопат),6641,166 - Велес 1 (автопат),167 - Д. Каласлари (автопат)
10,Д. Каласлари (автопат) - Градско 1 (автопат),18486,167 - Д. Каласлари (автопат),168 - Градско 1 (автопат)
11,Градско 1 (автопат) - Неготино 1 (автопат),15783,168 - Градско 1 (автопат),169 - Неготино 1 (автопат)
12,Неготино 1 (автопат) - Демир Капија 1 (автопат),16110,169 - Неготино 1 (автопат),170 - Демир Капија 1 (автопат)
13,Демир Капија 1 (автопат) - Миравци 2 (автопат),22739,170 - Демир Капија 1 (автопат),806 - Миравци 2 (автопат)
14,Миравци 2 (автопат) - Смоквица (автопат),5333,806 - Миравци 2 (автопат),807 - Смоквица (автопат)
16,Смоквица (автопат) - Прдејци (автопат),7188,807 - Смоквица (автопат),172 - Прдејци (автопат)
17,Прдејци (автопат) - Гевгелија 1 (автопат),6242,172 - Прдејци (автопат),173 - Гевгелија 1 (автопат)
18,Гевгелија 1 (автопат) - Државна граница МК/ГР (Богородица),3864,173 - Гевгелија 1 (автопат),452 - Државна граница МК/ГР (Богородица)
601,Клучка Табановце,961,558 - Клучка Табановце,559 - Клучка Табановце
602,Клучка Костурник,902,728 - Клучка Костурник,729 - Клучка Костурник
603,Клучка Речица,814,730 - Клучка Речица,731 - Клучка Речица
604,Крстосница Д. Конјаре,1350,732 - Крстосница Д. Конјаре,733 - Крстосница Д. Конјаре
605,Клучка Куманово,622,560 - Клучка Куманово,560 - Клучка Куманово
606,Клучка Бујковци,933,734 - Клучка Бујковци,735 - Клучка Бујковци
607,Крстосница Миладиновци,2071,739 - Крстосница Миладиновци,736 - Крстосница Миладиновци
607,Крстосница Миладиновци,2071,739 - Крстосница Миладиновци,736 - Крстосница Миладиновци
607,Крстосница Миладиновци,2071,739 - Крстосница Миладиновци,736 - Крстосница Миладиновци
607,Крстосница Миладиновци,2071,739 - Крстосница Миладиновци,736 - Крстосница Миладиновци
608,Клучка Аеродром север,1765,737 - Клучка Аеродром север,738 - Клучка Аеродром север
609,Клучка Аеродром југ,871,740 - Клучка Аеродром југ,741 - Клучка Аеродром југ
610,Крстосница Петровец,1123,742 - Крстосница Петровец,743 - Крстосница Петровец
611,Клучка Катланово север,312,744 - Клучка Катланово север,745 - Клучка Катланово север
612,Клучка Катланово центар,581,746 - Клучка Катланово центар,747 - Клучка Катланово центар
613,Клучка Башино Село,405,748 - Клучка Башино Село,749 - Клучка Башино Село
614,Клучка Велес,1628,750 - Клучка Велес,751 - Клучка Велес
615,Клучка Д. Каласлари север,690,752 - Клучка Д. Каласлари север,753 - Клучка Д. Каласлари север
616,Клучка Д. Каласлари југ,1444,754 - Клучка Д. Каласлари југ,755 - Клучка Д. Каласлари југ
617,Клучка Градско југ,930,756 - Клучка Градско југ,757 - Клучка Градско југ
618,Клучка Стоби,597,758 - Клучка Стоби,759 - Клучка Стоби
619,Клучка Неготино,1652,760 - Клучка Неготино,761 - Клучка Неготино
620,Клучка Демир Капија,1242,762 - Клучка Демир Капија,763 - Клучка Демир Капија
624,Клучка Смоквица,1799,770 - Клучка Смоквица,769 - Клучка Смоквица
624,Клучка Смоквица,1799,770 - Клучка Смоквица,769 - Клучка Смоквица
624,Клучка Смоквица,1799,770 - Клучка Смоквица,769 - Клучка Смоквица
624,Клучка Смоквица,1799,770 - Клучка Смоквица,769 - Клучка Смоквица
625,Клучка Прдејци,463,771 - Клучка Прдејци,772 - Клучка Прдејци
626,Клучка Гевгелија,917,773 - Клучка Гевгелија,774 - Клучка Гевгелија
631,Клучка Росоман,159,775 - Клучка Росоман,776 - Клучка Росоман
632,Клучка Возарци,137,777 - Клучка Возарци,778 - Клучка Возарци
633,Клучка Прилеп,925,779 - Клучка Прилеп,780 - Клучка Прилеп
634,Клучка Ново Лагово A1,287,781 - Клучка Ново Лагово A1,782 - Клучка Ново Лагово A1
786,Клучка Миравци,1983,811 - Клучка Миравци,810 - Клучка Миравци
