СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
801,Почивалиште Табановце,965,651 - Почивалиште Табановце,652 - Почивалиште Табановце
802,Бензинската пумпа Табановце,55,653 - Бензинската пумпа Табановце,654 - Бензинската пумпа Табановце
803,Бензинската пумпа Речица,71,655 - Бензинската пумпа Речица,656 - Бензинската пумпа Речица
804,Почивалиште Речица,350,657 - Почивалиште Речица,657 - Почивалиште Речица
805,Бензинската пумпа Билјановце,94,658 - Бензинската пумпа Билјановце,659 - Бензинската пумпа Билјановце
806,Почивалиште Романовце,211,660 - Почивалиште Романовце,661 - Почивалиште Романовце
807,Бензинската пумпа Делјадровци,176,662 - Бензинската пумпа Делјадровци,663 - Бензинската пумпа Делјадровци
808,Почивалиште Катланово север A,100,664 - Почивалиште Катланово север A,665 - Почивалиште Катланово север A
809,Почивалиште Катланово север V,344,666 - Почивалиште Катланово север V,667 - Почивалиште Катланово север V
810,Бензинската пумпа Катланово југ,130,668 - Бензинската пумпа Катланово југ,669 - Бензинската пумпа Катланово југ
811,Почивалиште Катланово југ,168,670 - Почивалиште Катланово југ,671 - Почивалиште Катланово југ
812,Почивалиште Д. Каласлари,667,672 - Почивалиште Д. Каласлари,672 - Почивалиште Д. Каласлари
813,Почивалиште Неготино,368,673 - Почивалиште Неготино,674 - Почивалиште Неготино
815,Бензинската пумпа Смоквица,89,677 - Бензинската пумпа Смоквица,678 - Бензинската пумпа Смоквица
816,Почивалиште Смоквица,134,679 - Почивалиште Смоквица,680 - Почивалиште Смоквица
817,Почивалиште Богородица,307,681 - Почивалиште Богородица,682 - Почивалиште Богородица
818,Бензинската пумпа Богородица,91,683 - Бензинската пумпа Богородица,684 - Бензинската пумпа Богородица
819,Почивалиште Богородица-граница,1281,685 - Почивалиште Богородица-граница,686 - Почивалиште Богородица-граница
861,Камионска зона Табановце,202,723 - Камионска зона Табановце,724 - Камионска зона Табановце
862,Камионска зона Богородица,665,725 - Камионска зона Богородица,726 - Камионска зона Богородица
864,Почивалиште Миравтси,466,812 - Почивалиште Миравтси,813 - Почивалиште Миравтси
1001,Градско 2 (Неготино) - Градско 1 (автопат),687,234 - Градско 2 (Неготино),235 - Градско 1 (автопат)
1002,Градско 1 (автопат) - Росоман,4272,235 - Градско 1 (автопат),236 - Росоман
1003,Росоман - Дреново (Возарци),11045,236 - Росоман,237 - Дреново (Возарци)
1004,Дреново (Возарци) - Беловодица,23468,237 - Дреново (Возарци),238 - Беловодица
1005,Беловодица - Прилеп 1 (клучка Могила),14641,238 - Беловодица,239 - Прилеп 1 (клучка Могила)
1006,Прилеп 1 (клучка Могила) - Ново Лагово 2 (Прилеп),3848,239 - Прилеп 1 (клучка Могила),554 - Ново Лагово 2 (Прилеп)
9001,Државна граница РС/МК (Табановце) - Речица (автопат),5678,131 - Државна граница РС/МК (Табановце),132 - Речица (автопат)
9002,Речица (автопат) - Д. Конјаре 1 (автопат),3493,132 - Речица (автопат),133 - Д. Конјаре 1 (автопат)
9003,Д. Конјаре 1 (автопат) - Куманово 1 (автопат),2795,133 - Д. Конјаре 1 (автопат),134 - Куманово 1 (автопат)
9004,Куманово 1 (автопат) - Миладиновци 1 (автопат),17865,134 - Куманово 1 (автопат),135 - Миладиновци 1 (автопат)
9005,Миладиновци 1 (автопат) - Петровец 1 (автопат),5853,135 - Миладиновци 1 (автопат),136 - Петровец 1 (автопат)
9006,Петровец 1 (автопат) - Катланово 2 (автопат),7288,136 - Петровец 1 (автопат),137 - Катланово 2 (автопат)
9007,Катланово 2 (автопат) - Велес 1 (автопат),21760,137 - Катланово 2 (автопат),138 - Велес 1 (автопат)
9009,Велес 1 (автопат) - Д. Каласлари(автопат),6673,138 - Велес 1 (автопат),139 - Д. Каласлари (автопат)
9010,Д. Каласлари (автопат) - Градско 1 (автопат),18459,139 - Д. Каласлари (автопат),140 - Градско 1 (автопат)
9011,Градско 1 (автопат) - Неготино 1 (автопат),15789,140 - Градско 1 (автопат),141 - Демир Капија 1 (автопат)
9012,Неготино 1 (автопат) - Демир Капија 1 (автопат),16110,141 - Демир Капија 1 (автопат),555 - Демир Капија 1 (автопат)
9013,Демир Капија 1 (автопат) - Миравци 2 (автопат),22692,555 - Демир Капија 1 (автопат),813 - Почивалиште Миравтси
9014,Миравци 2 (автопат) - Смоквица (автопат),5338,813 - Почивалиште Миравтси,814 - Смоквица (автопат)
9016,Смоквица (автопат) - Прдејци (автопат),7191,814 - Смоквица (автопат),143 - Прдејци (автопат)
9017,Прдејци (автопат) - Гевгелија 1 (автопат),6230,143 - Прдејци (автопат),144 - Гевгелија 1 (автопат)
9018,Гевгелија 1 (автопат) - Државна граница МК/ГР (Богородица),3907,144 - Гевгелија 1 (автопат),548 - Државна граница МК/ГР (Богородица)
