СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1345,Делчево 3 (Тработивиште) - Тработивиште,8401,800 - Делчево 3 (Тработивиште),86 - Тработивиште
1346,Тработивиште - Пехчево,17754,86 - Тработивиште,388 - Пехчево
1347,Пехчево - Смојмирово,4890,388 - Пехчево,494 - Смојмирово
1348,Смојмирово - Берово 1 (Смојмирово),3029,494 - Смојмирово,389 - Смојмирово
1349,Берово 1 (Смојмирово) - Берово 2 (Vladimirovo),987,390 - Берово 1 (Смојмирово),432 - Подареш
1350,Берово 2 (Vladimirovo) - Дабилја,48984,432 - Подареш,261 - Дабилја
