СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1621,Радовиш 2 (Воиславци) - Радовиш 4 (Бул. Александар Македонски),687,92 - Радовиш 2 (Воиславци),532 - Радовиш 4 (Бул. Александар Македонски)
1622,Радовиш 4 (Бул. Александар Македонски) - Радовиш 3 (кружен ток),1611,532 - Радовиш 4 (Бул. Александар Македонски),93 - Радовиш 3 (кружен ток)
1623,Радовиш 3 (кружен ток) - Козбунар (Плачковица),19206,93 - Радовиш 3 (кружен ток),533 - Козбунар (Плачковица)
1624,Козбунар (Плачковица) - Аргулица,20964,94 - Козбунар (Плачковица),57 - Аргулица
