СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1229,Демир капија 3 (Корешница) - Демир Капија 4,236,291 - Демир капија 3 (Корешница),292 - Демир Капија 4
1230,Демир Капија 4 - Демир Капија 5 (желез. станица),1127,292 - Демир Капија 4,106 - Демир Капија 5 (желез. станица)
1801,Демир Капија 5 (желез. станица) - Бесвица,8016,106 - Демир Капија 5 (желез. станица),107 - Бесвица
1802,Бесвица - Крнјево,14607,107 - Бесвица,108 - Крнјево
1803,Крнјево - Конопиште (Михајлово),12973,108 - Крнјево,109 - Конопиште (Михајлово)
1804,Конопиште (Михајлово) - Мушов гроб,3382,109 - Конопиште (Михајлово),324 - Мушов гроб
