СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1381,Макази 1 (Казхани) - Макази 2 (Козјак),580,212 - Макази 1 (Казхани),275 - Макази 2 (Козјак)
1382,Макази 2 (Козјак) - Асамати,7756,275 - Макази 2 (Козјак),422 - Асамати
1383,Асамати - Курбиново 1 (Претор),692,422 - Асамати,423 - Курбиново 1 (Претор)
1384,Курбиново 1 (Претор) - Сливница,3772,423 - Курбиново 1 (Претор),424 - Сливница
1385,Сливница - Љубојно,7623,424 - Сливница,425 - Љубојно
1386,Љубојно - Државна граница МК/ГР (Маркова нога),5468,425 - Љубојно,498 - Државна граница МК/ГР (Маркова нога)
