СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
51,Миладиновци 1 (автопат) - Илинден (автопат),7340,174 - Миладиновци 1 (автопат),175 - Илинден (автопат)
52,Илинден (автопат) - Инџиково(автопат),3997,175 - Илинден (автопат),154 - Инджиково (автопат)
53,Инджиково (автопат) - Ченто 2 (автопат),2094,154 - Инджиково (автопат),177 - Ченто 2 (автопат)
54,Ченто 2 (автопат) - Клучка Стенковец,14363,177 - Ченто 2 (автопат),550 - Клучка Стенковец
55,Клучка Стенковец - Сарај 1 (автопат),9210,550 - Клучка Стенковец,178 - Сарај 1 (автопат)
56,Сарај 1 (автопат) - Д. Грчец (автопат),2024,178 - Сарај 1 (автопат),179 - Д. Грчец (автопат)
57,Д. Грчец (автопат) - Групчин (автопат),15289,179 - Д. Грчец (автопат),180 - Групчин (автопат)
58,Групчин (автопат) - Желино 1 (автопат),7917,180 - Групчин (автопат),181 - Желино 1 (автопат)
59,Желино 1 (автопат) - Тетово 1 (автопат),6857,181 - Желино 1 (автопат),182 - Тетово 1 (автопат)
60,Тетово 1 (автопат) - Блатиште (Каменјане) (автопат),7502,182 - Тетово 1 (автопат),197 - Блатиште (Каменјане) (автопат)
311,Државна граница МК/БГ (Деве Баир) - Узем,1580,187 - Државна граница МК/БГ (Деве Баир),188 - Узем
312,Узем - Киселица (Крклја),8992,188 - Узем,50 - Киселица (Крклја)
313,Киселица (Крклја) - Крива Паланка,3705,50 - Киселица (Крклја),40 - Крива Паланка
314,Крива Паланка - Мождивнјак,9398,40 - Крива Паланка,115 - Мождивнјак
315,Мождивнјак - Ранковце,11796,115 - Мождивнјак,48 - Ранковце
316,Ранковце - Страцин (Крилатица),5792,48 - Ранковце,193 - Страцин (Крилатица)
317,Страцин (Крилатица) - Војник,17714,193 - Страцин (Крилатица),194 - Војник
318,Војник - Младо Нагоричане,4833,194 - Војник,195 - Младо Нагоричане
319,Младо Нагоричане - Д. Конјаре 2 (Карпош),8635,195 - Младо Нагоричане,196 - Д. Конјаре 2 (Карпош)
320,Д. Конјаре 2 (Карпош) - Д. Конјаре 1 (автопат),1299,196 - Д. Конјаре 2 (Карпош),453 - Д. Конјаре 1 (автопат)
321,Блатиште (Каменјане) (автопат) - Ременица (Неготино Полошко) (автопат),8233,197 - Блатиште (Каменјане) (автопат),198 - Ременица (Неготино Полошко) (автопат)
322,Ременица (Неготино Полошко) (автопат) - Тумчевиште (автопат),2165,198 - Ременица (Неготино Полошко) (автопат),199 - Тумчевиште (автопат)
323,Тумчевиште (автопат) - Гостивар 1 (автопат),3936,199 - Тумчевиште (автопат),200 - Гостивар 1 (автопат)
324,Гостивар 1 (автопат) - Гостивар 2 (Млака),1887,200 - Гостивар 1 (автопат),201 - Гостивар 2 (Млака)
325,Гостивар 2 (Млака) - Гостивар 3 (Здунје),1810,201 - Гостивар 2 (Млака),202 - Гостивар 3 (Здунје)
326,Гостивар 3 (Здунје) - Ново Село (Церово),10519,202 - Гостивар 3 (Здунје),203 - Ново Село (Церово)
327,Ново Село (Церово) - Зајас 1 (Д. Строгомиште),22467,203 - Ново Село (Церово),204 - Зајас 1 (Д. Строгомиште)
328,Зајас 1 (Д. Строгомиште) - Кичево 1 (Осломеј),7834,204 - Зајас 1 (Д. Строгомиште),205 - Кичево 1 (Осломеј)
329,Кичево 1 (Осломеј) - Кичево 2,634,205 - Кичево 1 (Осломеј),454 - Кичево 2
330,Кичево 2 - Кичево 3 (Бигор Доленци),2592,454 - Кичево 2,206 - Кичево 3 (Бигор Доленци)
331,Кичево 3 (Бигор Доленци) - Кичево 4,293,206 - Кичево 3 (Бигор Доленци),207 - Кичево 4
332,Кичево 4 - Другово,3511,207 - Кичево 4,208 - Другово
333,Другово - Извор,8471,208 - Другово,209 - Извор
334,Извор - Ботун,26302,209 - Извор,117 - Ботун
335,Ботун - Требеништа,9535,117 - Ботун,455 - Требеништа
336,Требеништа - Подмолје,5419,455 - Требеништа,211 - Подмолје
337,Подмолје - Струга,6717,211 - Подмолје,9 - Струга
338,Струга - Државна граница МК/АЛ (Кафасан),12930,17 - Струга,457 - Државна граница МК/АЛ (Кафасан)
651,Клучка Куманово север,1159,783 - Клучка Куманово север,784 - Клучка Куманово север
652,Клучка Бунарџик,873,785 - Клучка Бунарџик,786 - Клучка Бунарџик
653,Клучка Илинден исток,541,787 - Клучка Илинден исток,788 - Клучка Илинден исток
654,Клучка Илинден запад,1186,789 - Клучка Илинден запад,790 - Клучка Илинден запад
655,Крстосница Инџиково,1617,791 - Крстосница Инџиково,792 - Крстосница Инџиково
656,Клучка ченто,746,793 - Клучка ченто,794 - Клучка ченто
657,Клучка Стајковци,780,561 - Клучка Стајковци,562 - Клучка Стајковци
658,Клучка Смилјковци,695,563 - Клучка Смилјковци,564 - Клучка Смилјковци
659,Клучка Бутел,876,565 - Клучка Бутел,566 - Клучка Бутел
660,Клучка Г. Оризари,1090,567 - Клучка Г. Оризари,568 - Клучка Г. Оризари
661,Крстосница Стенковец,1043,569 - Крстосница Стенковец,570 - Крстосница Стенковец
662,Клучка Волково,604,571 - Клучка Волково,572 - Клучка Волково
663,Клучка Ново Село,1013,573 - Клучка Ново Село,574 - Клучка Ново Село
664,Клучка Сарај север,2944,575 - Клучка Сарај север,576 - Клучка Сарај север
665,Клучка Сарај југ,952,577 - Клучка Сарај југ,578 - Клучка Сарај југ
666,Клучка Групчин,771,579 - Клучка Групчин,580 - Клучка Групчин
667,Клучка Желино,505,581 - Клучка Желино,582 - Клучка Желино
668,Клучка Тетово север,1887,583 - Клучка Тетово север,584 - Клучка Тетово север
669,Клучка Брвеница,298,585 - Клучка Брвеница,586 - Клучка Брвеница
670,Клучка Тетово југ,1599,587 - Клучка Тетово југ,588 - Клучка Тетово југ
671,Клучка Каменјане,524,589 - Клучка Каменјане,590 - Клучка Каменјане
672,Клучка Жеровјане,752,591 - Клучка Жеровјане,592 - Клучка Жеровјане
673,Клучка Неготино-Полошко,558,593 - Клучка Неготино-Полошко,594 - Клучка Неготино-Полошко
674,Клучка Тумчевиште,624,595 - Клучка Тумчевиште,596 - Клучка Тумчевиште
675,Клучка Гостивар север,472,597 - Клучка Гостивар север,598 - Клучка Гостивар север
676,Клучка Гостивар Млака,972,599 - Клучка Гостивар Млака,600 - Клучка Гостивар Млака
677,Клучка Гостивар југ,282,601 - Клучка Гостивар југ,601 - Клучка Гостивар југ
678,Клучка Другово,215,602 - Клучка Другово,603 - Клучка Другово
679,Клучка Горенци,176,604 - Клучка Горенци,605 - Клучка Горенци
680,Клучка Охрид-Аеродром,119,606 - Клучка Охрид-Аеродром,607 - Клучка Охрид-Аеродром
681,Крстосница Подмолје,245,608 - Крстосница Подмолје,609 - Крстосница Подмолје
821,Почивалиште Деве Баир,677,798 - Почивалиште Деве Баир,799 - Почивалиште Деве Баир
822,Бензинската пумпа Илинден,137,687 - Бензинската пумпа Илинден,688 - Бензинската пумпа Илинден
823,Бензинската пумпа Арнакија север,170,689 - Бензинската пумпа Арнакија север,690 - Бензинската пумпа Арнакија север
824,Бензинската пумпа Арнакија југ,147,691 - Бензинската пумпа Арнакија југ,692 - Бензинската пумпа Арнакија југ
825,Почивалиште Семениште,251,693 - Почивалиште Семениште,694 - Почивалиште Семениште
828,Почивалиште Палатица,263,695 - Почивалиште Палатица,696 - Почивалиште Палатица
829,Почивалиште Тетово,181,697 - Почивалиште Тетово,698 - Почивалиште Тетово
830,Бензинската пумпа Тетово,82,699 - Бензинската пумпа Тетово,700 - Бензинската пумпа Тетово
831,Почивалиште Жеровјане,122,701 - Почивалиште Жеровјане,702 - Почивалиште Жеровјане
863,Камионска зона Деве Баир,240,795 - Камионска зона Деве Баир,727 - Камионска зона Деве Баир
9051,Миладиновци 1 (автопат) - Илинден (автопат),7966,145 - Миладиновци 1 (автопат),146 - Илинден (автопат)
9052,Илинден (автопат) - Инџиково(автопат),4002,146 - Илинден (автопат),147 - Инджиково (автопат)
9053,Инджиково (автопат) - Ченто 2 (автопат),2540,147 - Инджиково (автопат),148 - Ченто 2 (автопат)
9054,Ченто 2 (автопат) - Клучка Стенковец,14328,148 - Ченто 2 (автопат),549 - Клучка Стенковец
9055,Клучка Стенковец - Сарај 1 (автопат),9199,549 - Клучка Стенковец,149 - Сарај 1 (автопат)
9056,Сарај 1 (автопат) - Д. Грчец (автопат),2033,149 - Сарај 1 (автопат),150 - Д. Грчец (автопат)
