СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1365,Крклино - Лопатица,12002,406 - Крклино,407 - Лопатица
1366,Лопатица - Граиште (Демир Хисар),11367,407 - Лопатица,408 - Граиште (Демир Хисар)
1367,Граиште (Демир Хисар) - Сладуево,2564,408 - Граиште (Демир Хисар),409 - Сладуево
1368,Сладуево - Жван,10313,409 - Сладуево,410 - Жван
1369,Жван - ├ä─ů├ő┼ąeleznec,6983,410 - Жван,411 - Железнец
1370,Железнец - Пространје,5648,411 - Железнец,69 - Пространје
1371,Пространје - Другово,18806,69 - Пространје,208 - Другово
