СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
301,Демир капија 3 (Корешница) - Удово,22357,808 - Демир капија 3 (Корешница),185 - Удово
301,Демир капија 3 (Корешница) - Удово,22357,808 - Демир капија 3 (Корешница),185 - Удово
302,Удово - Марвинци 1,8899,185 - Удово,186 - Марвинци 1 (авто-патека)
302,Удово - Марвинци 1,8899,185 - Удово,186 - Марвинци 1
302,Удово - Марвинци 1,8899,185 - Удово,186 - Марвинци 1 (авто-патека)
302,Удово - Марвинци 1,8899,185 - Удово,186 - Марвинци 1
303,Марвинци 1 - Смоквица,2717,186 - Марвинци 1,809 - Смоквица
303,Марвинци 1 - Смоквица,2717,186 - Марвинци 1 (авто-патека),809 - Смоквица
621,Клучка Удово,429,764 - Клучка Удово,765 - Клучка Удово
622,Клучка Марвинци,307,504 - Марвинци 2 (Грчиште),766 - Клучка Марвинци
781,Клучка Градско север,592,646 - Клучка Градско север,647 - Клучка Градско север
814,Почивалиште Марвинци,138,675 - Почивалиште Марвинци,676 - Почивалиште Марвинци
1214,Ченто 2 (автопат) - ─éÔÇ×─╣┼íento 1 (автопат),4273,304 - Ченто 2 (автопат),277 - Ченто 1 (автопат)
1215,Ченто 1 (автопат) - Јурумлери,7407,277 - Ченто 1 (автопат),315 - Јурумлери
1216,Јурумлери - Петровец 2 (Ржанично),6169,315 - Јурумлери,279 - Петровец 2 (Ржанично)
1217,Петровец 2 (Ржанично) - Ржанично,1691,279 - Петровец 2 (Ржанично),280 - Ржанично
1218,Ржанично - Катланово 3 (Орешани),4779,280 - Ржанично,281 - Катланово 3 (Орешани)
1219,Катланово 3 (Орешани) - Катланово 4 (центар),969,281 - Катланово 3 (Орешани),114 - Катланово 4 (центар)
1220,"Катланово 4 (центар) - Башино село (автопат, десната лента)",22424,114 - Катланово 4 (центар),802 - Башино село (автопат)
1221,"Башино село (автопат, десната лента) - Велес 2 (Бабуна)",3498,802 - Башино село (автопат),"283 - Башино село (автопат, десната лента)"
1222,Велес 2 (Бабуна) - Велес 3 (центар),1300,471 - Велес 2 (Бабуна),284 - Велес 2 (Бабуна)
1223,Велес 3 (центар) - Д. Каласлари (автопат),6268,285 - Велес 3 (центар),286 - Д. Каласлари (автопат)
1224,Д. Каласлари (автопат) - Градско 2 (Неготино),19984,286 - Д. Каласлари (автопат),234 - Градско 2 (Неготино)
1225,Градско 2 (Неготино) - Неготино 2 (Ladilnik),16274,234 - Градско 2 (Неготино),288 - Неготино 2 (Ладник)
1226,Неготино 2 (Ladilnik) - Неготино 3 Неготино 3 Неготино 3,141,288 - Неготино 2 (Ладник),299 - Неготино 3
1227,Неготино 3 - Неготино 4 (Дуброво),306,299 - Неготино 3,290 - Неготино 4 (Дуброво)
1228,Неготино 4 (Дуброво) - Демир капија 3 (Корешница),16277,290 - Неготино 4 (Дуброво),808 - Демир капија 3 (Корешница)
1233,Смоквица - Прдејци (автопат),7453,809 - Смоквица,472 - Прдејци (автопат)
1234,Прдејци - Гевгелија 2 (Моин),7613,472 - Прдејци (автопат),296 - Гевгелија 2 (Моин)
1235,Гевгелија 2 (Моин) - Гевгелија 1 (автопат),1782,473 - Гевгелија 2 (Моин),333 - Гевгелија 1 (автопат)
