Јазол,X,Y
251,7631989.82,4654566.94
253,7529328.66,4547257.82
254,7529584.84,4543919.84
255,7529601.89,4543866.23
257,7532744.58,4538213.42
259,7596421.32,4618416.43
261,7641787.49,4590228.73
262,7643140.23,4589871.44
263,7662838.69,4585348.5
264,7543751.69,4574664.89
266,7537095.45,4564434.97
271,7524771.19,4544707.52
273,7515028.03,4547381.66
275,7504738.28,4546318.62
277,7540919.24,4651037.8
279,7551665.71,4643910.95
280,7552725.99,4642593.47
281,7556083.73,4639259.27
283,7565937.33,4620222.08
284,7565634.56,4619428.99
285,7565622.34,4619414.3
286,7569011.94,4615774.25
288,7592452.35,4595661.9
290,7592521.99,4595286.21
291,7603229.86,4586817.51
292,7603419.92,4586731.71
295,7621326.71,4574374.34
296,7626334.92,4556878.39
298,7604866.53,4606105.19
299,7592380.03,4595542.02
300,7592286.77,4595429.99
301,7591963.25,4594852.25
302,7584434.07,4589023.68
303,7584430.92,4588984.15
304,7544649.25,4652831.78
305,7549974.4,4659804.48
306,7558470.33,4665761.64
307,7559236.83,4666096.14
308,7559423.25,4667929.71
309,7620477.23,4578144.29
310,7621238.8,4578561.7
311,7629528.39,4574692.42
312,7633205.25,4576014.96
313,7637347.55,4568815.59
314,7647146.67,4560068.25
315,7546305.43,4646934.04
316,7543628.01,4643331.52
317,7534549.87,4640501.29
318,7530800.05,4642079.06
319,7523106.5,4638249.83
320,7513705.69,4625781.76
321,7521456.07,4614005.72
323,7584453.04,4588997.81
324,7586590.34,4563545.97
325,7580395.88,4559444.49
326,7580151.7,4556469.16
327,7569730.78,4560076.43
328,7564982.97,4558118.08
329,7562408.16,4559317.71
330,7556660.71,4566495.36
331,7543970.08,4574312.87
332,7626345.1,4556842.14
333,7627780.41,4557708.81
334,7631259.0,4561787.78
335,7473215.49,4560109.01
337,7469934.68,4567650.75
339,7466743.53,4580926.1
341,7461521.18,4588765.74
343,7483008.19,4620928.13
345,7467660.0,4608895.37
346,7467795.44,4607216.33
349,7459586.77,4600288.88
351,7498501.43,4651501.42
352,7503370.0,4656782.56
353,7505837.9,4659570.63
354,7510974.1,4666985.97
355,7560477.49,4668328.45
356,7561825.4,4664256.97
359,7597040.22,4625109.85
360,7598214.75,4623886.22
362,7593655.9,4660476.47
363,7597760.2,4659946.02
364,7598018.5,4651098.34
365,7599472.61,4646899.59
367,7602039.44,4636876.68
369,7526387.04,4649631.88
370,7512276.49,4646764.81
372,7497447.75,4651039.45
373,7497086.47,4651306.33
374,7494619.53,4644947.06
375,7490967.86,4637136.35
376,7490775.62,4632642.04
378,7568518.66,4672129.94
379,7570314.27,4675035.78
380,7482423.85,4553680.1
383,7626139.37,4664363.38
384,7483859.78,4548113.01
385,7482706.17,4533418.5
388,7656388.36,4625837.28
389,7654466.94,4620683.96
390,7654464.14,4620664.33
392,7547090.88,4576396.09
393,7546508.56,4578025.85
394,7546756.97,4578192.61
395,7544706.35,4579349.44
396,7536395.75,4586074.37
397,7531632.01,4589695.69
398,7520316.06,4597377.21
399,7510091.5,4593291.21
400,7501829.43,4591627.09
402,7625075.82,4638907.19
403,7630240.85,4637831.23
404,7632466.73,4638059.03
405,7645527.25,4628241.58
406,7529242.59,4547928.51
407,7522193.85,4557531.21
408,7517342.14,4565624.45
409,7517321.51,4568113.61
410,7509067.76,4572092.23
411,7504762.03,4576441.62
415,7521459.6,4580450.88
416,7519603.34,4570984.43
417,7501151.12,4549077.69
418,7501038.64,4544338.92
420,7492144.74,4533498.46
422,7505016.6,4538719.47
423,7505306.45,4538100.47
424,7506879.42,4534901.8
425,7510327.13,4528620.32
427,7617585.5,4640799.91
428,7604317.04,4649215.9
429,7602810.58,4650066.71
430,7600893.88,4651975.71
431,7622944.99,4611268.53
432,7653785.66,4619949.83
433,7654478.48,4620665.26
434,7529608.71,4543890.78
435,7538753.11,4544346.66
436,7552880.43,4552708.06
437,7555417.61,4550714.33
438,7562408.16,4559317.71
440,7566497.57,4620843.94
443,7638498.02,4587032.62
447,7647027.84,4584061.67
448,7621830.75,4609983.47
450,7545475.45,4642471.08
451,7546379.03,4620481.22
452,7630674.5,4555286.93
453,7559242.21,4668227.53
454,7496599.27,4597751.56
455,7479970.15,4562692.46
457,7467482.31,4549703.87
458,7469629.17,4549713.19
459,7470045.68,4557951.54
460,7479487.33,4557827.23
461,7482364.79,4553936.64
462,7482368.83,4553942.52
463,7647267.64,4649209.44
464,7655788.24,4650859.82
465,7596751.29,4625224.16
466,7636939.64,4594349.53
467,7535575.68,4530589.31
468,7664769.3,4585489.62
469,7529561.16,4543888.3
470,7524782.13,4544690.49
471,7565939.18,4620188.66
472,7625924.03,4563307.0
473,7626354.49,4556860.02
474,7584484.16,4589470.78
475,7642393.76,4566926.39
476,7646984.95,4570341.12
477,7516577.6,4637147.35
478,7601140.74,4560113.84
479,7460709.92,4597351.09
480,7461999.25,4588033.04
481,7461150.0,4597365.13
482,7458213.82,4602035.48
483,7467894.17,4608606.77
484,7515820.92,4668816.55
485,7499423.23,4651106.27
486,7498478.3,4651493.71
488,7497440.91,4651018.14
489,7573184.34,4685852.44
490,7490598.75,4652255.14
491,7622156.03,4671705.0
492,7483801.11,4552606.75
493,7477899.45,4529824.67
494,7653430.11,4623212.37
495,7496484.49,4595236.86
496,7491995.91,4530515.51
497,7499366.47,4529709.55
498,7510561.84,4523483.66
499,7612391.94,4656007.02
500,7664075.18,4613477.72
501,7561925.42,4558603.33
502,7565950.5,4620215.09
503,7565611.91,4619434.48
504,7625261.11,4571907.57
505,7637673.19,4590635.76
506,7578852.57,4636145.26
507,7536007.58,4645836.52
508,7499136.57,4621849.87
509,7602370.59,4650187.43
510,7608525.1,4663577.94
511,7492624.76,4628537.3
512,7567825.0,4669990.94
513,7471493.94,4605640.57
514,7531079.64,4675781.68
515,7533028.72,4677894.04
516,7465273.43,4574599.89
517,7465636.76,4583680.39
518,7581215.19,4680657.6
519,7596635.28,4686051.12
520,7473976.63,4595359.43
521,7591495.18,4682227.96
522,7468962.68,4586358.58
523,7610021.72,4687712.65
524,7521766.2,4537426.31
525,7531288.91,4526584.27
526,7528299.74,4576971.58
527,7531659.03,4589635.98
528,7564433.27,4549235.96
529,7544904.68,4540362.32
530,7649392.37,4651025.37
531,7644574.87,4642518.34
532,7621699.72,4610333.78
533,7624521.26,4623108.84
534,7636982.98,4594355.4
535,7631147.25,4593706.51
536,7557948.77,4639570.42
537,7545857.94,4678777.71
538,7497135.99,4569770.21
539,7485486.83,4656534.45
540,7487147.42,4625203.52
541,7468906.77,4598849.63
542,7591857.02,4665713.71
543,7519481.56,4543593.81
544,7545389.44,4584606.82
545,7528948.38,4597596.38
546,7632411.71,4600881.46
547,7558761.63,4671657.72
548,7630712.61,4555290.29
549,7532070.54,4656600.37
550,7532060.37,4656613.28
551,7532044.84,4656622.34
552,7552528.81,4643352.68
553,7525457.47,4666373.68
554,7543970.2,4574323.84
555,7603291.21,4586631.22
556,7552458.47,4643478.22
557,7492304.78,4629077.32
558,7558478.11,4676089.81
559,7558470.79,4675969.75
560,7558480.99,4665677.23
561,7542794.08,4654332.7
562,7542875.68,4654355.82
563,7540528.04,4654386.68
564,7540764.61,4654374.42
565,7538314.42,4655264.8
566,7538296.76,4655255.83
567,7535562.69,4656557.72
568,7535362.53,4656590.17
569,7532261.86,4656615.95
570,7531998.56,4656599.31
571,7530714.9,4656622.53
572,7530726.45,4656607.38
573,7528305.52,4655138.02
574,7528353.97,4655266.75
575,7527182.49,4651671.41
576,7527213.5,4651681.3
577,7526426.84,4649914.63
578,7526364.13,4649806.14
579,7512404.99,4646810.95
580,7512542.32,4646837.94
581,7506025.66,4649257.57
582,7505985.17,4649245.13
583,7500118.31,4650868.55
584,7500113.57,4650857.13
585,7497595.95,4649076.7
586,7497481.58,4649022.02
