СЕКЦИЈА БР,СЕКЦИЈА,ДОЛЖИНА,ЈАЗОЛ НА ПОЧЕТОКОТ,ЈАЗОЛ НА КРАЈОТ
1255,Јурумлери - Драчево 1 (Јурумлери),5023,315 - Јурумлери,316 - Драчево 1 (Јурумлери)
1256,Драчево 1 (Јурумлери) - Маркова Сушица,10683,316 - Драчево 1 (Јурумлери),317 - Маркова Сушица
1257,Маркова Сушица - Долно Сонје,4834,317 - Маркова Сушица,318 - Долно Сонје
1258,Долно Сонје - Нова Брезница,9955,318 - Долно Сонје,319 - Нова Брезница
1259,Нова Брезница - Брана “Козјак“,12064,319 - Нова Брезница,477 - Брана “Козјак“
1260,Брана “Козјак“ - Мост на Близанско,22192,801 - Брана Козјак,320 - Мост на Близанско
1261,Мост на Близанско - Kaludzherec,19354,320 - Мост на Близанско,321 - Калуѓерец
1262,Kaludzherec - Суводол,22676,321 - Калуѓерец,398 - Суводол
